lattice-72.cs.colostate. up            3:41,    load average: 0.00 0.00 0.00
lattice-124.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-123.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-54.cs.colostate. up   7 days,  2:23,    load average: 0.00 0.00 0.00
lattice-75.cs.colostate. up   7 days,  2:14,    load average: 0.00 0.00 0.00
lattice-117.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-128.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-119.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-103.cs.colostate up  46 days, 34 mins,  load average: 0.02 0.01 0.00
lattice-85.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-76.cs.colostate. up   7 days,  2:14,    load average: 0.00 0.00 0.00
lattice-80.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-63.cs.colostate. up   7 days,  2:15,    load average: 0.00 0.00 0.00
lattice-133.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-83.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-109.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-132.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-82.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-102.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-105.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-24.cs.colostate. up   7 days,  1:47,    load average: 0.00 0.00 0.00
lattice-5.cs.colostate.e up            7:48,    load average: 0.00 0.00 0.00
lima.cs.colostate.edu    up  16 days, 23:38,    load average: 0.01 0.18 0.16
lattice-37.cs.colostate. up   7 days,  3:55,    load average: 0.00 0.02 0.00
melons.cs.colostate.edu  up  10 days, 22:49,    load average: 0.33 0.39 0.86
lattice-41.cs.colostate. up   7 days,  3:55,    load average: 0.00 0.00 0.00
lattice-6.cs.colostate.e up   7 days,  3:53,    load average: 0.00 0.00 0.00
pears.cs.colostate.edu   up  10 days, 23:18,    load average: 0.15 0.15 0.16
lattice-39.cs.colostate. up   7 days,  3:57,    load average: 0.00 0.00 0.00
lattice-21.cs.colostate. up   7 days,  3:57,    load average: 0.00 0.00 0.00
lattice-35.cs.colostate. up   7 days,  3:54,    load average: 0.06 0.05 0.01
lattice-27.cs.colostate. up   7 days,  1:43,    load average: 0.01 0.00 0.00
lattice-47.cs.colostate. up   7 days,  3:56,    load average: 0.01 0.00 0.00
lattice-45.cs.colostate. up   7 days,  3:50,    load average: 0.00 0.00 0.00
lattice-33.cs.colostate. up            4:30,    load average: 0.00 0.00 0.00
lattice-4.cs.colostate.e up            7:49,    load average: 0.00 0.00 0.00
lattice-38.cs.colostate. up   7 days,  3:19,    load average: 0.00 0.00 0.00
lattice-100.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-3.cs.colostate.e up            7:52,    load average: 0.00 0.00 0.00
lattice-43.cs.colostate. up   7 days,  3:58,    load average: 0.00 0.00 0.00
lattice-1.cs.colostate.e up           23:45,    load average: 0.00 0.00 0.00
lattice-40.cs.colostate. up   7 days,  3:17,    load average: 0.00 0.00 0.00
lattice-22.cs.colostate. up   7 days,  3:50,    load average: 0.00 0.00 0.00
lattice-18.cs.colostate. up   7 days,  3:58,    load average: 0.00 0.00 0.00
lattice-8.cs.colostate.e up   7 days,  4:00,    load average: 0.00 0.00 0.00
lattice-42.cs.colostate. up   7 days,  3:47,    load average: 0.00 0.00 0.00
lattice-11.cs.colostate. up   7 days,  3:53,    load average: 0.00 0.00 0.00
lattice-32.cs.colostate. up   7 days,  3:56,    load average: 0.00 0.00 0.00
lattice-31.cs.colostate. up   7 days,  3:56,    load average: 0.02 0.01 0.00
lattice-26.cs.colostate. up   7 days,  3:57,    load average: 0.00 0.00 0.00
lattice-87.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-122.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-90.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-126.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-95.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-112.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-99.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-89.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-88.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-104.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-94.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-15.cs.colostate. up   7 days,  3:58,    load average: 0.00 0.00 0.00
hams-fork.cs.colostate.e up  10 days, 22:50,    load average: 0.00 0.00 0.00
lattice-17.cs.colostate. up   7 days,  3:55,    load average: 0.00 0.00 0.00
maserati.cs.colostate.ed up  13 days, 23:52,    load average: 0.00 0.00 0.00
bentley.cs.colostate.edu up  13 days, 23:54,    load average: 0.00 0.00 0.00
ferrari.cs.colostate.edu up  13 days, 23:59,    load average: 0.00 0.00 0.00
tallahassee.cs.colostate up            5 mins,  load average: 0.31 0.43 0.21
lattice-129.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-81.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-121.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-98.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-111.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-127.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-79.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-118.cs.colostate up  46 days, 33 mins,  load average: 0.00 0.00 0.00
lattice-131.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
oak.cs.colostate.edu     up  15 days,  5:29,    load average: 0.00 0.00 0.00
lattice-101.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.01 0.00
lattice-115.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
missouri.cs.colostate.ed up  10 days, 22:52,    load average: 0.68 0.58 0.36
lattice-93.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lang.cs.colostate.edu    up  10 days, 22:04,    load average: 0.00 0.00 0.00
lattice-120.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-84.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-130.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
peaches.cs.colostate.edu up  10 days, 23:09,    load average: 0.00 0.00 0.00
kenai.cs.colostate.edu   up           21:26,    load average: 0.02 0.09 0.19
jefferson.cs.colostate.e up  10 days, 22:35,    load average: 0.18 0.15 0.06
massive.cs.colostate.edu up  46 days,  3:02,    load average: 0.00 0.00 0.00
tehran.cs.colostate.edu  up  16 days, 23:38,    load average: 0.00 0.05 0.08
lattice-125.cs.colostate up  46 days, 35 mins,  load average: 0.00 0.00 0.00
